2.30259 7.24423 2.30259 7.82405 2.30259 7.24423
2.99573 7.90101 2.99573 8.49699 2.99573 8.24276
3.4012 8.63052 3.4012 9.36734 3.4012 8.94898
3.68888 9.82011 3.68888 10.2256 3.68888 9.76996
3.91202 9.77565 3.91202 10.5866 3.91202 10.2751
4.09434 9.88328 4.09434 10.8513 4.09434 10.4223
4.2485 10.4996 4.2485 11.3667 4.2485 10.7955
4.38203 11.3919 4.38203 11.8019 4.38203 11.3108
4.49981 10.9785 4.49981 11.9117 4.49981 11.2848
4.60517 11.2797 4.60517 12.0094 4.60517 11.3621
4.70048 10.9768 4.70048 12.2458 4.70048 11.6827
4.78749 11.5415 4.78749 12.6005 4.78749 12.1292
4.86753 12.0021 4.86753 12.7663 4.86753 12.2733
4.94164 11.6852 4.94164 12.7556 4.94164 12.0771
5.01064 11.9316 5.01064 12.5825 5.01064 11.964
5.07517 12.0335 5.07517 12.968 5.07517 12.0895
5.1358 12.16 5.1358 13.2082 5.1358 12.2145
5.19296 12.1085 5.19296 13.1964 5.19296 12.3458
5.24702 12.2254 5.24702 13.1323 5.24702 12.4248
5.29832 12.438 5.29832 13.2841 5.29832 12.5267
5.34711 12.7571 5.34711 13.4583 5.34711 12.6533
5.39363 12.7522 5.39363 13.4644 5.39363 12.7326
5.43808 12.8275 5.43808 13.5586 5.43808 12.7988
5.48064 12.5271 5.48064 13.5013 5.48064 13.1537
5.52146 12.6897 5.52146 13.5424 5.52146 13.0309
5.56068 12.7608 5.56068 13.7433 5.56068 13.0711
5.59842 12.7841 5.59842 13.9117 5.59842 13.4505
5.63479 13.1853 5.63479 13.7942 5.63479 13.218
5.66988 13.0362 5.66988 13.8511 5.66988 13.2853
5.70378 13.2658 5.70378 13.9447 5.70378 13.3673
5.73657 13.15 5.73657 13.9941 5.73657 13.4177
5.76832 13.2901 5.76832 14.1563 5.76832 13.5185
5.79909 13.2546 5.79909 14.1256 5.79909 13.5415
5.82895 13.3439 5.82895 14.3553 5.82895 13.6394
5.85793 13.3734 5.85793 14.2724 5.85793 13.6571
5.8861 13.5719 5.8861 14.4268 5.8861 13.9705
5.9135 13.4726 5.9135 14.3784 5.9135 13.8292
5.94017 13.5685 5.94017 14.47 5.94017 13.8763
5.96615 13.7957 5.96615 14.7783 5.96615 14.0245
5.99146 14.0848 5.99146 14.5714 5.99146 14.2782
6.01616 13.6931 6.01616 14.5881 6.01616 14.0063
6.04025 13.9415 6.04025 14.6802 6.04025 14.0492
6.06379 13.8599 6.06379 14.8078 6.06379 14.2588
6.08677 13.7833 6.08677 14.7732 6.08677 14.3667
