10 3100 2000 1700
20 5200 4100 3800
30 7900 7200 6300
40 11300 10300 8900
50 18300 16900 14900
60 21700 27700 17600
70 22000 20100 18200
80 25400 23500 21300
90 29200 28100 24600
100 33200 31400 28000
110 37100 35400 31300
120 40300 38800 49400
130 61700 57000 38900
140 64900 59500 52000
150 68200 64400 49500
160 75300 71700 50200
170 63900 66700 51500
180 65400 61600 55100
190 69500 84800 89700
200 97200 86300 78400
210 127600 113500 84800
220 106200 78800 70900
230 87500 83700 74800
240 91900 86900 79200
250 96300 91800 82700
260 101100 125900 103600
270 105100 100500 90800
280 112400 104400 93900
290 114600 111600 97500
300 155300 113700 102000
310 157000 139800 131100
320 163200 123900 110400
330 163100 135200 125800
340 150000 131500 124000
350 143000 137600 124600
360 169900 141400 126600
370 171300 175700 138500
380 165100 195600 178400
390 212300 159400 143100
400 168200 160200 145800
410 193300 168900 153100
420 184300 174000 156700
430 187900 205600 168600
440 216000 185500 165700
450 257400 226100 209400
460 251300 197700 175100
470 234100 199000 179400
480 257900 203500 183300
490 242100 208900 188200
500 250000 215100 237500
510 289100 219900 199100
520 268600 225600 201800
530 238200 231400 210800
540 244200 236500 214600
550 291200 240400 216400
560 408700 260200 221800
570 260900 252100 229100
580 265900 255300 229300
590 284300 269900 234800
600 346500 368400 240100
610 342500 276000 251800
620 288700 277300 252900
630 293500 292800 272400
640 298400 284900 257600
650 367800 340500 263800
660 310700 313900 290700
670 341800 311300 281600
680 331100 322400 306000
690 357800 353700 305100
700 351700 342700 325600
710 362000 335300 301900
720 354200 342600 311100
730 394600 457400 407000
740 388300 349200 315700
750 377100 388900 321100
760 376000 364800 337500
770 408800 441400 421500
780 429100 373400 335900
790 400000 379700 341000
800 396300 407700 350900
810 509000 391800 360200
820 441000 394400 355500
830 439600 399300 362200
840 442900 410700 573500
850 501200 426000 419900
860 431400 416700 380400
870 437300 427200 387700
880 489900 536000 476600
890 495800 432600 397500
900 542300 439500 400500
910 457800 480700 441200
920 562400 483100 438300
930 505300 470300 430500
940 488100 485500 453000
950 604600 641600 451200
960 517400 486800 445900
970 504800 493100 579900
980 602900 504900 465300
990 547000 506700 465500
1000 530200 519400 527600
1010 639800 522600 482000
1020 556400 524400 481600
1030 538600 535800 502000
1040 622800 595200 497800
1050 632200 547000 489100
1060 558300 554700 526300
1070 661400 561300 514900
1080 735200 564900 505700
1090 574900 630300 553100
1100 735000 588200 518400
1110 612600 577200 529800
1120 598900 602600 569800
1130 641400 596200 545900
1140 700300 601000 539400
1150 642100 835800 566700
1160 652500 608000 550800
1170 661000 658000 610500
1180 852900 657600 582200
1190 675400 651700 587400
1200 755200 787900 639600
1210 684400 668000 597500
1220 664100 698300 621400
1230 892700 694500 610100
1240 685100 694500 633200
1250 733600 808800 911400
